id,name,date,value
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T14:00Z,13
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T14:00Z,5
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T14:00Z,29
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T14:00Z,10329
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T15:00Z,8965
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T15:00Z,20964
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T15:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T15:00Z,13
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T15:00Z,633
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T15:00Z,29
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T15:00Z,9890
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T16:00Z,7997
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T16:00Z,20457
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T16:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T16:00Z,14
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T16:00Z,1975
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T16:00Z,29
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T16:00Z,9905
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T17:00Z,6962
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T17:00Z,19536
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T17:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T17:00Z,12
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T17:00Z,2682
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T17:00Z,29
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T17:00Z,11026
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T18:00Z,6697
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T18:00Z,19170
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T18:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T18:00Z,18
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T18:00Z,2843
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T18:00Z,13
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T18:00Z,11061
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T19:00Z,7029
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T19:00Z,19038
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T19:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T19:00Z,12
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T19:00Z,2831
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T19:00Z,4
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T19:00Z,9929
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T20:00Z,7291
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T20:00Z,18948
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T20:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T20:00Z,14
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T20:00Z,2764
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T20:00Z,4
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T20:00Z,8832
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T21:00Z,7735
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T21:00Z,19302
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T21:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T21:00Z,16
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T21:00Z,2605
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T21:00Z,3
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T21:00Z,7334
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T22:00Z,8277
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T22:00Z,19746
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T22:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T22:00Z,11
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T22:00Z,2778
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T22:00Z,4
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T22:00Z,5825
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T23:00Z,9856
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T23:00Z,21172
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T23:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T23:00Z,10
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T23:00Z,1761
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T23:00Z,4
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T23:00Z,4311
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02,11549
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02,23775
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02,19
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02,290
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02,3
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02,3342
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T01:00Z,12141
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T01:00Z,24802
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T01:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T01:00Z,19
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T01:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T01:00Z,3
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T01:00Z,3505
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T02:00Z,12029
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T02:00Z,25036
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T02:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T02:00Z,17
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T02:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T02:00Z,45
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T02:00Z,3566
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T03:00Z,12029
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T03:00Z,24906
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T03:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T03:00Z,10
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T03:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T03:00Z,31
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T03:00Z,3775
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T04:00Z,11978
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T04:00Z,24692
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T04:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T04:00Z,12
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T04:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T04:00Z,22
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T04:00Z,3561
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T05:00Z,11501
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T05:00Z,23358
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T05:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T05:00Z,9
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T05:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T05:00Z,4
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T05:00Z,4099
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T06:00Z,10745
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T06:00Z,22421
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T06:00Z,5130
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T06:00Z,9
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T06:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T06:00Z,4
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T06:00Z,4588
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T07:00Z,9928
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T07:00Z,22311
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T07:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T07:00Z,10
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T07:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T07:00Z,27
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T07:00Z,4062
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-02T08:00Z,10064
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-02T08:00Z,22429
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-02T08:00Z,5131
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-02T08:00Z,9
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-02T08:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-02T08:00Z,6
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-02T08:00Z,3062
