country,week_end_date,activations
United States,9/29/2019,"29,501"
Australia,10/6/2019,"2,563"
Germany,10/6/2019,"11,663"
United Kingdom,10/6/2019,"11,733"
United States,10/6/2019,"29,535"
Australia,10/13/2019,"4,474"
Germany,10/13/2019,"8,451"
United Kingdom,10/13/2019,"8,614"
United States,10/13/2019,"27,632"
Australia,10/20/2019,"2,134"
Germany,10/20/2019,"5,820"
United Kingdom,10/20/2019,"7,654"
United States,10/20/2019,"26,554"
Australia,10/27/2019,"2,298"
Germany,10/27/2019,"8,386"
United Kingdom,10/27/2019,"11,657"
United States,10/27/2019,"31,168"
Australia,11/3/2019,"2,402"
Germany,11/3/2019,"10,510"
United Kingdom,11/3/2019,"12,584"
United States,11/3/2019,"32,491"
Australia,11/10/2019,"2,704"
Germany,11/10/2019,"7,375"
United Kingdom,11/10/2019,"9,995"
United States,11/10/2019,"39,731"
Australia,11/17/2019,"2,333"
Germany,11/17/2019,"6,462"
United Kingdom,11/17/2019,"8,272"
United States,11/17/2019,"34,829"
Australia,11/24/2019,"2,048"
Germany,11/24/2019,"5,474"
United Kingdom,11/24/2019,"8,163"
United States,11/24/2019,"39,168"
Australia,12/1/2019,"9,395"
Germany,12/1/2019,"45,999"
United Kingdom,12/1/2019,"18,020"
United States,12/1/2019,"241,456"
Australia,12/8/2019,"5,392"
Germany,12/8/2019,"29,385"
United Kingdom,12/8/2019,"14,628"
United States,12/8/2019,"95,434"
Australia,12/15/2019,"3,302"
Germany,12/15/2019,"13,269"
United Kingdom,12/15/2019,"10,949"
United States,12/15/2019,"62,924"
Australia,12/22/2019,"5,676"
Germany,12/22/2019,"13,059"
United Kingdom,12/22/2019,"14,470"
United States,12/22/2019,"77,251"
Australia,12/29/2019,"25,067"
Germany,12/29/2019,"59,871"
United Kingdom,12/29/2019,"97,016"
United States,12/29/2019,"457,024"
Australia,1/5/2020,"5,367"
Germany,1/5/2020,"15,189"
United Kingdom,1/5/2020,"16,762"
United States,1/5/2020,"95,280"
Australia,1/12/2020,"3,607"
Germany,1/12/2020,"8,353"
United Kingdom,1/12/2020,"8,834"
United States,1/12/2020,"51,152"
Australia,1/19/2020,"2,607"
Germany,1/19/2020,"6,347"
United Kingdom,1/19/2020,"7,372"
United States,1/19/2020,"41,924"
Australia,1/26/2020,"2,072"
Germany,1/26/2020,"5,117"
United Kingdom,1/26/2020,"6,479"
United States,1/26/2020,"39,419"
Australia,2/2/2020,"1,800"
Germany,2/2/2020,"5,549"
United Kingdom,2/2/2020,"6,054"
United States,2/2/2020,"34,808"
Australia,2/9/2020,"1,688"
Germany,2/9/2020,"7,373"
United Kingdom,2/9/2020,"5,823"
United States,2/9/2020,"35,121"
Australia,2/16/2020,"1,865"
Germany,2/16/2020,"7,009"
United Kingdom,2/16/2020,"5,893"
United States,2/16/2020,"36,858"
Australia,2/23/2020,"1,668"
Germany,2/23/2020,"4,770"
United Kingdom,2/23/2020,"6,406"
United States,2/23/2020,"34,285"
Australia,3/1/2020,"1,618"
Germany,3/1/2020,"4,781"
United Kingdom,3/1/2020,"5,888"
United States,3/1/2020,"58,255"
Australia,3/8/2020,"1,686"
Germany,3/8/2020,"5,022"
United Kingdom,3/8/2020,"5,393"
United States,3/8/2020,"50,463"
Australia,3/15/2020,"1,940"
Germany,3/15/2020,"6,057"
United Kingdom,3/15/2020,"6,835"
United States,3/15/2020,"51,516"
Australia,3/22/2020,"3,740"
Germany,3/22/2020,"10,029"
United Kingdom,3/22/2020,"19,281"
United States,3/22/2020,"96,008"
Australia,3/29/2020,"8,660"
Germany,3/29/2020,"15,327"
United Kingdom,3/29/2020,"27,263"
United States,3/29/2020,"93,696"
Australia,4/5/2020,"8,981"
Germany,4/5/2020,"11,036"
United Kingdom,4/5/2020,"21,420"
United States,4/5/2020,"92,197"
Australia,4/12/2020,"8,027"
Germany,4/12/2020,"7,534"
United Kingdom,4/12/2020,"18,344"
United States,4/12/2020,"89,822"
Australia,4/19/2020,"6,450"
Germany,4/19/2020,"6,518"
United Kingdom,4/19/2020,"14,708"
United States,4/19/2020,"124,058"
Australia,4/26/2020,"1,581"
Germany,4/26/2020,"1,878"
United Kingdom,4/26/2020,"4,220"
United States,4/26/2020,"25,376"
